id,Покупательская_активность,Тип_сервиса,Разрешить_сообщать,Маркет_актив_6_мес,Маркет_актив_тек_мес,Длительность,Акционные_покупки,Популярная_категория,Средний_просмотр_категорий_за_визит,Неоплаченные_продукты_штук_квартал,Ошибка_сервиса,Страниц_за_визит,Выручка_позапрошлая,Выручка_прошлая,Выручка_текущая,Активность,"Время_прошлый,мин","Время_текущий,мин"
215348,Снизилась,премиум,да,3.4,5,121,0.0,Товары для детей,6,2,1,5,4809.0,5005.0,3293.1,Не активен,13,14
215349,Снизилась,премиум,да,4.4,4,819,0.75,Товары для детей,4,4,2,5,4472.0,5216.0,4971.6,Активен,12,10
215350,Снизилась,стандарт,нет,4.9,3,539,0.14,Домашний текстиль,5,2,1,5,4826.0,5457.5,5058.4,Активен,8,13
215351,Снизилась,стандарт,да,3.2,5,896,0.99,Товары для детей,5,0,6,4,4793.0,6158.0,6610.4,Активен,11,13
215352,Снизилась,стандарт,нет,5.1,3,1064,0.94,Товары для детей,3,2,3,2,4594.0,5807.5,5872.5,Активен,8,11
215353,Снизилась,стандарт,да,3.3,4,762,0.26,Домашний текстиль,4,1,1,4,5124.0,4738.5,5388.5,Активен,10,10
215354,Снизилась,стандарт,да,5.1,3,431,0.23,Косметика и аксесуары,2,3,7,2,4503.0,5685.0,5869.6,Активен,11,12
215355,Снизилась,стандарт,нет,4.7,4,284,0.17,Товары для детей,5,1,6,4,4749.0,3263.0,3772.6,Активен,12,10
215356,Снизилась,стандарт,да,4.2,4,192,0.14,Косметика и аксесуары,2,2,1,3,4433.0,4146.5,4566.4,Активен,6,7
215357,Снизилась,стандарт,да,3.9,5,154,0.0,Техника для красоты и здоровья,3,3,9,5,4809.0,5005.25,5986.3,Не активен,12,6
215358,Снизилась,стандарт,да,4.7,4,450,0.13,Домашний текстиль,4,2,6,4,4727.0,3488.0,4209.5,Активен,14,10
215359,Снизилась,стандарт,да,4.6,5,110,0.0,Домашний текстиль,4,2,4,2,4809.0,5005.375,4735.0,Не активен,13,11
215360,Снизилась,премиум,да,3.9,3,623,0.35,Кухонная посуда,3,1,4,7,5555.0,5304.5,5834.9,Активен,9,6
215361,Снизилась,стандарт,да,5.1,4,199,0.23,Техника для красоты и здоровья,4,5,2,3,4597.0,6400.0,3789.7,Активен,11,13
215362,Снизилась,премиум,да,4.2,4,438,0.74,Домашний текстиль,3,4,6,4,4765.0,4314.0,4447.9,Активен,13,13
215363,Снизилась,стандарт,нет,4.9,4,923,0.29,Товары для детей,6,0,3,1,4633.0,6010.0,6128.3,Активен,8,5
215364,Снизилась,премиум,да,4.3,4,708,0.98,Домашний текстиль,3,3,3,3,4942.0,5795.5,5484.8,Активен,11,9
215365,Снизилась,стандарт,да,3.9,4,167,0.95,Техника для красоты и здоровья,6,4,2,5,4190.0,4577.0,4799.3,Активен,6,10
215366,Снизилась,стандарт,нет,3.8,3,209,0.22,Товары для детей,5,3,7,7,4335.0,5035.5,5338.4,Активен,8,14
215367,Снизилась,премиум,да,4.2,4,581,0.4,Товары для детей,5,1,4,1,4668.0,5164.5,5493.4,Активен,8,7
215368,Снизилась,премиум,да,3.8,5,829,0.24,Техника для красоты и здоровья,2,2,6,1,4536.0,5823.0,5591.6,Активен,11,9
215369,Снизилась,стандарт,нет,2.7,4,607,0.21,Товары для детей,2,2,3,4,4931.0,3593.0,3842.6,Активен,8,9
215370,Снизилась,стандарт,да,3.9,4,572,0.4,Домашний текстиль,2,0,5,5,4535.0,5235.5,4840.3,Активен,7,10
