,Покупательская_активность,Тип_сервиса,Разрешить_сообщать,Маркет_актив_6_мес,Маркет_актив_тек_мес,Длительность,Акционные_покупки,Популярная_категория,Средний_просмотр_категорий_за_визит,Неоплаченные_продукты_штук_квартал,Ошибка_сервиса,Страниц_за_визит,Выручка_позапрошлая,Выручка_прошлая,Выручка_текущая,Активность,"Время_прошлый,мин","Время_текущий,мин"
Покупательская_активность,1.0,0.13227705427733943,0.0,0.5456300482819227,0.0,0.08999474555771732,0.4989544095154446,0.297052997164786,0.5354306879652568,0.5026201433140954,0.2198228133923421,0.7500256064849667,0.4403732364623893,0.30598736333020066,0.5383520003746189,0.054746477729474205,0.6022985240011113,0.5696052281385652
Тип_сервиса,0.13227705427733943,1.0,0.28601475844820234,0.09247687800560048,0.044600061257439386,0.4057114568328933,0.04619210624698489,0.06678712019139892,0.18106914807041108,0.12172241545405721,0.07336653762922657,0.10337072250685467,0.3083911433151392,0.3817023208292986,0.700666394162154,0.0,0.11906155364392296,0.05668411042780761
Разрешить_сообщать,0.0,0.28601475844820234,1.0,0.0,0.052266582915104845,0.24916487062001177,0.0,0.07138567931402627,0.07182924544533889,0.1959237967740561,0.0,0.04426401800211424,0.32697752368783084,0.05027694920641697,0.6531427121790853,0.0,0.06452347058464117,0.0
Маркет_актив_6_мес,0.5456300482819227,0.09247687800560048,0.0,1.0,0.0783494631490162,0.0,0.24149983825385946,0.14993785108491722,0.20639837326574112,0.2863416292861681,0.14174161846097205,0.39372645955012925,0.5462345210396243,0.7942571997488583,0.8648793989327502,0.0,0.3219703587552644,0.3284178843024622
Маркет_актив_тек_мес,0.0,0.044600061257439386,0.052266582915104845,0.0783494631490162,1.0,0.17871711950214075,0.011340644666522081,0.13280988627549603,0.2474888465122499,0.145703009179964,0.1155429046227683,0.0,0.3208139121737955,0.5415561675800759,0.8003937840787485,0.04454362784180751,0.16237786479995928,0.08278416583415987
Длительность,0.08999474555771732,0.4057114568328933,0.24916487062001177,0.0,0.17871711950214075,1.0,0.12450914774167463,0.0,0.1912916182235888,0.17585110095449524,0.18580195908195157,0.08983507991352221,0.4547880580750608,0.633922750265645,0.8522673715024424,0.1945295948680246,0.07576364981804058,0.03579705513037884
Акционные_покупки,0.4989544095154446,0.04619210624698489,0.0,0.24149983825385946,0.011340644666522081,0.12450914774167463,1.0,0.10282579682782401,0.19689496780921115,0.23772598659549296,0.07991208480558404,0.3074124900453133,0.0,0.9577732047553148,0.985743247891091,1.0,0.333160899708075,0.3037348788243735
Популярная_категория,0.297052997164786,0.06678712019139892,0.07138567931402627,0.14993785108491722,0.13280988627549603,0.0,0.10282579682782401,1.0,0.2241041948251562,0.24835457745105122,0.0,0.15896772940101678,0.2312135879462306,0.5311559166175405,0.8437178182439934,0.0,0.2176226315427929,0.11508310745623328
Средний_просмотр_категорий_за_визит,0.5354306879652568,0.18106914807041108,0.07182924544533889,0.20639837326574112,0.2474888465122499,0.1912916182235888,0.19689496780921115,0.2241041948251562,1.0,0.3258207736903738,0.0679876353012035,0.26016309607154897,0.0,0.5738998568583789,0.6775670649371132,0.0,0.2182412336652376,0.2378604681270951
Неоплаченные_продукты_штук_квартал,0.5026201433140954,0.12172241545405721,0.1959237967740561,0.2863416292861681,0.145703009179964,0.17585110095449524,0.23772598659549296,0.24835457745105122,0.3258207736903738,1.0,0.046980270568009394,0.3613836527144139,0.6119194303671732,0.9171000762868133,0.907711586971516,0.0,0.1824656691627578,0.18382917264065762
